iter	Passed	Remaining
0	129	129420
1	131	65564
2	133	44226
3	134	33579
4	136	27155
5	138	22879
6	141	20134
7	143	17846
8	145	16038
9	149	14764
10	151	13613
11	153	12603
12	154	11747
13	156	11034
14	158	10403
15	160	9842
16	161	9355
17	163	8926
18	165	8570
19	167	8226
20	171	7999
21	173	7709
22	175	7437
23	176	7191
24	178	6961
25	180	6747
26	181	6546
27	183	6363
28	185	6194
29	187	6046
30	188	5903
31	190	5767
32	192	5637
33	194	5511
34	195	5397
35	197	5283
36	198	5175
37	200	5077
38	202	4987
39	204	4909
40	206	4827
41	208	4744
42	209	4666
43	211	4593
44	214	4546
45	216	4482
46	218	4420
47	220	4374
48	222	4314
49	223	4255
50	225	4197
51	227	4140
52	229	4098
53	231	4056
54	233	4009
55	235	3973
56	237	3929
57	239	3890
58	241	3846
59	242	3806
60	245	3771
61	246	3733
62	248	3697
63	250	3658
64	251	3622
65	253	3585
66	254	3550
67	256	3516
68	258	3492
69	260	3459
70	262	3429
71	263	3398
72	265	3367
73	267	3345
74	268	3316
75	270	3288
76	272	3260
77	273	3237
78	275	3213
79	277	3188
80	278	3162
81	280	3139
82	281	3110
83	283	3086
84	284	3063
85	286	3042
86	287	3022
87	290	3006
88	291	2987
89	293	2970
90	295	2950
91	296	2929
92	298	2909
93	299	2889
94	302	2879
95	304	2862
96	305	2843
97	306	2824
98	308	2805
99	310	2791
100	312	2779
101	313	2763
102	316	2754
103	317	2739
104	319	2722
105	321	2708
106	323	2695
107	324	2681
108	326	2664
109	327	2649
110	328	2633
111	330	2620
112	332	2610
113	334	2597
114	336	2586
115	337	2572
116	338	2556
117	340	2542
118	341	2528
119	343	2515
120	345	2506
121	346	2492
122	348	2481
123	349	2470
124	351	2457
125	352	2445
126	353	2431
127	355	2419
128	356	2407
129	358	2396
130	360	2388
131	361	2380
132	363	2370
133	365	2359
134	366	2348
135	367	2336
136	370	2332
137	371	2321
138	373	2313
139	375	2305
140	377	2297
141	378	2286
142	379	2276
143	381	2268
144	383	2259
145	384	2249
146	386	2241
147	388	2237
148	390	2227
149	391	2219
150	393	2211
151	395	2205
152	396	2196
153	398	2188
154	399	2178
155	401	2169
156	402	2161
157	404	2154
158	405	2146
159	407	2139
160	408	2128
161	409	2120
162	411	2112
163	413	2105
164	414	2097
165	415	2089
166	417	2083
167	419	2078
168	421	2072
169	422	2064
170	424	2056
171	425	2048
172	427	2043
173	428	2035
174	430	2028
175	432	2025
176	434	2019
177	436	2015
178	438	2010
179	439	2003
180	441	1996
181	442	1989
182	443	1981
183	445	1974
184	447	1973
185	449	1967
186	451	1962
187	452	1956
188	454	1950
189	456	1946
190	458	1940
191	459	1933
192	461	1931
193	463	1925
194	465	1920
195	466	1913
196	467	1907
197	469	1900
198	470	1894
199	471	1887
200	473	1880
201	474	1874
202	476	1869
203	477	1864
204	479	1860
205	481	1854
206	482	1848
207	484	1843
208	485	1837
209	486	1831
210	488	1825
211	489	1820
212	491	1816
213	493	1811
214	494	1806
215	496	1801
216	497	1796
217	499	1790
218	500	1784
219	502	1780
220	504	1776
221	506	1773
222	507	1769
223	510	1767
224	511	1763
225	513	1758
226	514	1752
227	516	1747
228	517	1742
229	519	1737
230	534	1780
231	538	1781
232	540	1777
233	541	1773
234	543	1768
235	544	1763
236	546	1760
237	548	1756
238	551	1756
239	553	1752
240	555	1750
241	557	1745
242	558	1740
243	560	1735
244	561	1729
245	563	1726
246	564	1722
247	567	1720
248	568	1716
249	570	1711
250	572	1707
251	573	1702
252	574	1697
253	576	1692
254	578	1689
255	579	1685
256	581	1681
257	583	1677
258	584	1673
259	586	1669
260	587	1664
261	589	1660
262	591	1656
263	592	1652
264	594	1648
265	595	1644
266	597	1640
267	599	1636
268	600	1632
269	602	1628
270	603	1624
271	605	1620
272	606	1616
273	609	1613
274	611	1610
275	612	1607
276	614	1604
277	616	1601
278	618	1597
279	619	1593
280	621	1589
281	622	1585
282	625	1583
283	626	1580
284	628	1577
285	630	1573
286	632	1570
287	633	1566
288	635	1562
289	636	1558
290	638	1555
291	639	1551
292	641	1547
293	643	1544
294	644	1540
295	646	1536
296	647	1533
297	649	1529
298	650	1525
299	652	1522
300	654	1519
301	656	1516
302	657	1512
303	659	1509
304	660	1505
305	662	1502
306	663	1498
307	665	1495
308	666	1491
309	668	1487
310	670	1485
311	672	1482
312	673	1478
313	675	1474
314	676	1471
315	678	1467
316	679	1464
317	681	1461
318	682	1457
319	684	1454
320	685	1450
321	687	1447
322	689	1445
323	691	1442
324	692	1438
325	693	1434
326	695	1431
327	697	1428
328	698	1424
329	700	1421
330	701	1418
331	703	1415
332	704	1412
333	706	1408
334	708	1405
335	709	1401
336	711	1399
337	713	1396
338	715	1394
339	716	1391
340	718	1388
341	719	1384
342	721	1381
343	722	1377
344	724	1374
345	725	1371
346	726	1367
347	728	1364
348	729	1361
349	731	1359
350	733	1355
351	734	1352
352	736	1349
353	737	1346
354	739	1343
355	741	1340
356	742	1337
357	744	1334
358	745	1331
359	747	1328
360	748	1325
361	750	1322
362	751	1318
363	752	1315
364	754	1312
365	755	1308
366	756	1305
367	758	1303
368	760	1299
369	761	1296
370	762	1293
371	764	1290
372	765	1286
373	767	1283
374	768	1280
375	769	1277
376	771	1274
377	772	1271
378	774	1268
379	776	1266
380	777	1263
381	778	1260
382	780	1257
383	781	1254
384	783	1251
385	784	1248
386	786	1245
387	787	1242
388	789	1239
389	790	1236
390	791	1233
391	793	1230
392	794	1227
393	796	1224
394	797	1221
395	798	1217
396	799	1214
397	801	1211
398	802	1208
399	803	1205
400	805	1202
401	806	1199
402	807	1196
403	809	1193
404	810	1190
405	811	1187
406	812	1184
407	813	1181
408	815	1177
409	816	1175
410	817	1172
411	819	1169
412	820	1166
413	821	1163
414	822	1159
415	824	1156
416	825	1153
417	826	1150
418	827	1147
419	828	1144
420	829	1141
421	831	1138
422	832	1135
423	833	1132
424	835	1129
425	836	1126
426	837	1123
427	838	1120
428	839	1117
429	841	1115
430	842	1112
431	843	1109
432	844	1106
433	846	1103
434	847	1100
435	848	1097
436	849	1095
437	851	1092
438	852	1089
439	853	1086
440	854	1083
441	855	1080
442	857	1077
443	858	1074
444	859	1071
445	860	1069
446	862	1066
447	863	1063
448	864	1061
449	865	1058
450	867	1055
451	868	1052
452	869	1049
453	870	1047
454	872	1044
455	873	1041
456	874	1039
457	875	1036
458	877	1033
459	878	1031
460	879	1028
461	880	1025
462	881	1022
463	883	1020
464	884	1018
465	886	1015
466	887	1012
467	888	1010
468	889	1007
469	891	1004
470	892	1002
471	893	999
472	895	997
473	896	994
474	898	992
475	899	990
476	901	988
477	902	985
478	903	983
479	905	981
480	907	979
481	909	977
482	911	975
483	913	973
484	914	971
485	916	968
486	917	966
487	918	964
488	920	961
489	921	959
490	923	957
491	924	954
492	926	952
493	927	950
494	929	947
495	930	945
496	931	942
497	932	940
498	934	938
499	935	935
500	937	933
501	938	931
502	940	929
503	941	926
504	943	924
505	944	921
506	945	919
507	946	917
508	948	914
509	949	912
510	951	910
511	952	907
512	954	905
513	955	903
514	956	900
515	957	898
516	959	896
517	960	893
518	961	891
519	963	889
520	964	886
521	966	884
522	967	882
523	968	880
524	970	877
525	971	875
526	972	873
527	974	870
528	975	868
529	976	866
530	977	863
531	979	861
532	981	859
533	982	857
534	983	854
535	984	852
536	986	850
537	987	847
538	988	845
539	989	843
540	991	840
541	992	838
542	993	836
543	995	834
544	997	832
545	998	830
546	999	827
547	1001	825
548	1002	823
549	1003	821
550	1004	818
551	1006	816
552	1007	814
553	1008	812
554	1010	810
555	1011	808
556	1013	805
557	1014	803
558	1016	801
559	1017	799
560	1018	797
561	1020	795
562	1021	792
563	1022	790
564	1024	788
565	1025	786
566	1027	784
567	1028	782
568	1030	780
569	1031	778
570	1032	775
571	1034	773
572	1035	771
573	1036	769
574	1037	767
575	1039	765
576	1040	763
577	1042	761
578	1043	759
579	1045	757
580	1047	755
581	1048	753
582	1050	751
583	1051	749
584	1053	747
585	1055	745
586	1056	743
587	1058	741
588	1059	739
589	1061	737
590	1062	735
591	1064	733
592	1066	731
593	1068	730
594	1070	728
595	1072	726
596	1073	724
597	1075	723
598	1077	721
599	1079	719
600	1081	718
601	1083	716
602	1085	714
603	1087	712
604	1088	710
605	1089	708
606	1091	706
607	1092	704
608	1094	702
609	1095	700
610	1097	698
611	1099	697
612	1101	695
613	1102	693
614	1104	691
615	1106	689
616	1107	687
617	1109	685
618	1111	683
619	1112	682
620	1114	680
621	1115	678
622	1117	676
623	1118	673
624	1119	671
625	1121	669
626	1122	667
627	1124	666
628	1126	664
629	1128	662
630	1129	660
631	1131	658
632	1132	656
633	1133	654
634	1135	652
635	1136	650
636	1139	649
637	1140	647
638	1142	645
639	1143	643
640	1145	641
641	1147	639
642	1148	637
643	1150	636
644	1151	634
645	1154	632
646	1155	630
647	1157	628
648	1159	626
649	1161	625
650	1162	623
651	1164	621
652	1165	619
653	1167	617
654	1169	616
655	1171	614
656	1175	613
657	1176	611
658	1178	610
659	1181	608
660	1183	606
661	1185	605
662	1186	603
663	1188	601
664	1190	599
665	1191	597
666	1192	595
667	1194	593
668	1195	591
669	1197	589
670	1198	587
671	1200	585
672	1201	583
673	1203	581
674	1204	580
675	1206	578
676	1207	576
677	1208	574
678	1210	572
679	1211	570
680	1213	568
681	1214	566
682	1216	564
683	1218	562
684	1219	560
685	1221	559
686	1223	557
687	1224	555
688	1225	553
689	1229	552
690	1230	550
691	1232	548
692	1234	546
693	1236	545
694	1238	543
695	1240	541
696	1242	539
697	1244	538
698	1245	536
699	1247	534
700	1248	532
701	1250	530
702	1252	528
703	1253	527
704	1255	525
705	1256	523
706	1259	521
707	1260	519
708	1262	518
709	1263	516
710	1265	514
711	1267	512
712	1268	510
713	1270	508
714	1272	507
715	1274	505
716	1276	503
717	1278	502
718	1280	500
719	1282	498
720	1283	496
721	1285	494
722	1289	493
723	1291	492
724	1293	490
725	1294	488
726	1296	486
727	1298	485
728	1300	483
729	1303	482
730	1305	480
731	1307	478
732	1309	476
733	1311	475
734	1313	473
735	1316	472
736	1318	470
737	1320	468
738	1321	466
739	1324	465
740	1325	463
741	1327	461
742	1329	459
743	1331	457
744	1332	456
745	1334	454
746	1336	452
747	1338	450
748	1339	449
749	1341	447
750	1343	445
751	1345	443
752	1347	441
753	1348	440
754	1350	438
755	1352	436
756	1353	434
757	1355	432
758	1357	430
759	1358	429
760	1360	427
761	1362	425
762	1364	423
763	1365	421
764	1367	420
765	1368	418
766	1370	416
767	1372	414
768	1373	412
769	1377	411
770	1379	409
771	1380	407
772	1382	405
773	1383	403
774	1385	402
775	1387	400
776	1389	398
777	1391	396
778	1392	395
779	1394	393
780	1396	391
781	1398	389
782	1400	388
783	1402	386
784	1403	384
785	1405	382
786	1407	380
787	1409	379
788	1410	377
789	1412	375
790	1413	373
791	1415	371
792	1417	369
793	1418	368
794	1421	366
795	1423	364
796	1424	362
797	1427	361
798	1430	359
799	1432	358
800	1433	356
801	1435	354
802	1437	352
803	1438	350
804	1440	348
805	1442	347
806	1443	345
807	1445	343
808	1446	341
809	1448	339
810	1449	337
811	1451	336
812	1453	334
813	1454	332
814	1455	330
815	1457	328
816	1459	326
817	1460	324
818	1462	323
819	1463	321
820	1465	319
821	1467	317
822	1468	315
823	1470	314
824	1471	312
825	1473	310
826	1474	308
827	1476	306
828	1478	304
829	1479	303
830	1482	301
831	1483	299
832	1485	297
833	1486	295
834	1488	294
835	1490	292
836	1493	290
837	1495	289
838	1497	287
839	1499	285
840	1501	283
841	1503	282
842	1504	280
843	1506	278
844	1508	276
845	1509	274
846	1511	273
847	1513	271
848	1514	269
849	1516	267
850	1517	265
851	1519	263
852	1521	262
853	1522	260
854	1524	258
855	1526	256
856	1527	254
857	1529	253
858	1530	251
859	1532	249
860	1533	247
861	1535	245
862	1537	244
863	1538	242
864	1540	240
865	1542	238
866	1543	236
867	1545	235
868	1547	233
869	1548	231
870	1552	229
871	1553	228
872	1555	226
873	1556	224
874	1557	222
875	1559	220
876	1561	219
877	1563	217
878	1564	215
879	1566	213
880	1568	211
881	1570	210
882	1571	208
883	1574	206
884	1576	204
885	1577	202
886	1579	201
887	1581	199
888	1582	197
889	1584	195
890	1586	194
891	1587	192
892	1589	190
893	1591	188
894	1592	186
895	1593	185
896	1596	183
897	1597	181
898	1599	179
899	1600	177
900	1602	176
901	1603	174
902	1605	172
903	1606	170
904	1608	168
905	1610	167
906	1612	165
907	1613	163
908	1615	161
909	1617	159
910	1618	158
911	1620	156
912	1621	154
913	1623	152
914	1626	151
915	1628	149
916	1629	147
917	1631	145
918	1633	143
919	1634	142
920	1636	140
921	1638	138
922	1641	136
923	1642	135
924	1644	133
925	1645	131
926	1647	129
927	1649	127
928	1651	126
929	1653	124
930	1655	122
931	1657	120
932	1658	119
933	1660	117
934	1661	115
935	1663	113
936	1665	111
937	1666	110
938	1668	108
939	1670	106
940	1672	104
941	1673	103
942	1675	101
943	1677	99
944	1679	97
945	1680	95
946	1682	94
947	1684	92
948	1685	90
949	1687	88
950	1689	87
951	1691	85
952	1693	83
953	1694	81
954	1696	79
955	1697	78
956	1699	76
957	1700	74
958	1702	72
959	1703	70
960	1705	69
961	1707	67
962	1708	65
963	1710	63
964	1711	62
965	1713	60
966	1714	58
967	1716	56
968	1718	54
969	1720	53
970	1721	51
971	1722	49
